x-box,y-box,ancho,alto,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,letra
196,165,59,63,870,-33.0,-29.2962962963,3503.8125,2833.62962963,9.51736111111,-10406.15625,-12453.4074074,74,2029,88,2675,D
109,163,68,65,834,-5.484375,-26.5185185185,3141.828125,2860.37037037,6.38310185185,7828.921875,-5508.2962963,87,2411,98,2942,D
441,159,42,67,1274,-57.1875,22.4444444444,3977.34375,3881.66666667,1.30237268519,-23734.96875,7392.55555556,74,1969,67,2012,D
414,88,47,59,696,-3.203125,-10.7592592593,1921.890625,2104.31481481,19.0772569444,499.015625,-3565.2037037,78,2106,86,2591,D
354,86,40,59,1162,-71.40625,2.24074074074,3305.46875,3092.09259259,-3.46846064815,-24448.9375,404.018518519,69,1850,65,1993,D
186,86,67,62,904,55.125,-42.2962962963,2411.125,2821.37037037,4.34751157407,27682.59375,-10132.4074074,71,1881,89,2833,D
102,86,59,60,964,5.796875,-23.3333333333,2639.515625,2625.51851852,29.2835648148,5349.453125,-7346.88888889,71,1931,78,2461,D
278,81,52,67,1043,-54.921875,27.2407407407,4009.296875,3338.46296296,-8.28877314815,-24162.453125,13437.9074074,76,2021,79,2425,D
344,18,51,48,561,-20.328125,-17.7962962963,1710.953125,1508.53703704,-6.62413194444,-1451.515625,-6397.90740741,70,1920,88,2755,D
273,12,58,54,561,2.625,-11.6666666667,2028.5,1624.48148148,17.3521412037,4726.96875,-3230.66666667,78,2138,94,2863,D
423,6,60,59,914,-51.5,-32.3703703704,3734.90625,2956.44444444,8.97337962963,-19943.28125,-13814.7037037,73,2021,91,2792,D
106,5,59,60,916,21.25,2.62962962963,2410.15625,2888.96296296,12.609375,17326.84375,-305.814814815,71,1931,84,2670,D
184,0,67,75,952,-30.015625,-19.7777777778,4308.484375,3559.92592593,-0.708912037037,-8188.703125,-10593.7777778,80,2238,90,2779,D
313,268,45,51,807,-8.203125,5.27777777778,2322.921875,2983.31481481,-2.53298611111,4261.921875,1321.5,71,1909,104,3233,E
253,268,39,52,683,-14.734375,-2.42592592593,1377.109375,2239.83333333,-2.84403935185,1249.109375,-1027.53703704,55,1467,93,3088,E
182,261,51,58,1368,12.375,27.8148148148,3530.125,3276.85185185,17.4320023148,5849.4375,5269.81481481,66,1841,102,3653,E
380,258,39,61,970,-72.46875,-4.83333333333,2754.25,3565.98148148,1.03298611111,-21112.875,1126.83333333,47,1257,105,3471,E
108,258,50,61,1345,-87.25,-1.5,4426.375,4727.24074074,-2.22887731481,-32774.21875,775.166666667,43,1161,116,4017,E
320,168,40,57,1190,-50.734375,9.55555555556,2443.859375,4079.48148148,-4.17737268519,-9307.140625,3355.11111111,43,1161,92,3048,E
258,167,40,59,688,-70.0,-3.83333333333,2326.03125,2747.01851852,-2.46238425926,-24040.1875,-950.5,48,1280,110,3509,E
